Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
mmu-mir-219-2No2,mmu-mir-219-2,Mus musculus,no,NA
hsa-mir-302bNo1,hsa-miR-302b,Homo sapiens,yes,NA
hsa-mir-323No1,hsa-mir-323,Homo sapiens,no,NA
hsa-mir-330No1,hsa-mir-330,Homo sapiens,no,NA
hsa-mir-1-1No2,hsa-mir-1-1,Homo sapiens,no,NA
hsa-mir-133bNo2,hsa-mir-133b,Homo sapiens,no,NA
hsa-mir-200cNo2,hsa-miR-200c*,Homo sapiens,yes,NA
hsa-mir-340No2,hsa-miR-340,Homo sapiens,yes,NA
hsa-mir-369No2,hsa-mir-369,Homo sapiens,no,NA
hsa-mir-373No2,hsa-miR-373*,Homo sapiens,yes,NA
mmu-mir-469,mmu-mir-469,Mus musculus,yes,NA
mmu-mir-471No2,mmu-mir-471,Mus musculus,no,NA
mmu-mir-4855p,mmu-miR-485,Mus musculus,yes,NA
hsa_mir_147 right,hsa-mir-147,Homo sapiens,no,NA
mmu-mir-154-prec,mmu-miR-154,Mus musculus,yes,NA
mmu-mir-183-precNo1,mmu-miR-183*,Mus musculus,yes,NA
mmu-mir-186-prec,mmu-miR-186,Mus musculus,yes,NA
mmu-mir-203-precNo1,mmu-miR-203*,Mus musculus,yes,NA
mmu-mir-206-prec,mmu-miR-206,Mus musculus,yes,NA
mmu-mir-213-prec,hsa-mir-181b,Homo sapiens,yes,NA
mmu-mir-224-precformer175No2,mmu-mir-224,Mus musculus,no,NA
mmu-mir-199a-1No2,mmu-mir-199a-1,Mus musculus,no,NA
mmu-mir-199bNo2,mmu-miR-199b,Mus musculus,yes,NA
mmu-mir-22No2,mmu-miR-22*,Mus musculus,yes,NA
mmu-mir-27aNo2,mmu-miR-27a*,Mus musculus,yes,NA
mmu-mir-103-2No2,mmu-mir-103-2,Mus musculus,no,NA
mmu-mir-350No2,mmu-mir-350,Mus musculus,no,NA
mmu-mir-19aNo2,mmu-miR-19a*,Mus musculus,yes,NA
mmu-mir-320No2,mmu-mir-320,Mus musculus,no,NA
hsa-mir-498No2,hsa-mir-498,Homo sapiens,no,NA
hsa-mir-500No2,hsa-mir-500,Homo sapiens,yes,NA
hsa-mir-502No2,hsa-miR-502-3p,Homo sapiens,yes,NA
hsa-mir-510No2,hsa-miR-502-3p,Homo sapiens,yes,NA
hsa-mir-511-2No2,hsa-mir-511-2,Homo sapiens,no,NA
hsa-mir-513-1No2,hsa-mir-513a-2,Homo sapiens,no,NA
hsa-mir-516-33p,hsa-miR-516b*,Homo sapiens,yes,NA
hsa-mir-517a,hsa-miR-517a,Homo sapiens,yes,NA
